colonia,municipio,cp,casos,lat,lng
Héctor Mayagoitia,Durango,34010,3,24.0172286,-104.6592876
La Guajolota,Mezquital,34985,4,22.9617105,-104.6307719
Legisladores,Durango,34046,2,24.022008,-104.654741
Cielo Vista,Durango,34038,1,24.0499775,-104.6592977
Francisco Javier Mina,Durango,34310,1,24.4934382,-104.4857303
Gobernadores,Durango,34045,1,24.0298113,-104.7063167
Haciendas del Saltito,Durango,34105,1,24.0091843,-104.7116261
Hidalgo,Durango,34310,1,26.0450739,-104.8218566
Laderas del Pedregal,Durango,34015,1,24.022008,-104.654741
Loma Dorada Diamante,Durango,34105,1,24.0126823,-104.6943
Valentín Gómez Farías,Durango,34010,1,24.0507134,-104.6989422
Independencia (Mártires),Gómez Palacio,35045,1,25.5732473,-103.494779
Santa María de Ocotán,Mezquital,34983,1,22.9141686,-104.5996615
Zona Centro,Vicente Guerrero,34890,1,23.7271859,-103.9463725
La Joya,Mezquital,34985,4,23.6143782,-104.3569861
